id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	CPD041_EVC1	CPD041_EVC2	CPD041_EVC3	CPD041_KGD001	CPD041_KGD002	CPD041_KGD003	CPD041_KGD005	CPD041_KGD007	CPD041_KGD008	CPD041_KGD009	CPD041_KGD010	CPD041_KGD011	CPD041_KGD013	CPD041_KGD014	CPD041_KGD015	CPD041_KGD016	CPD041_KGD017	CPD041_KGD018	CPD041_KGD019	CPD041_KGD021	CPD041_KGD022	CPD041_KGD023	CPD041_KGD025	CPD041_KGD026	CPD041_KGD028	CPD041_KGD031	CPD041_KGD032	CPD041_KGD033	CPD041_KGD034	CPD041_KGD035	CPD041_KGD036	CPD041_KGD037	CPD041_KGD038	CPD041_KGD040	CPD041_KGD041	CPD041_KGD042	CPD041_KGD043	CPD041_KGD044	CPD041_KGD045	CPD041_KGD048	CPD041_KGD051	CPD041_KGD052	CPD041_KGD057	CPD041_KGD058	CPD041_KGD064	CPD041_KGD066	CPD041_KGD069	CPD041_KGD070	CPD041_KGD075	CPD041_KGD076	CPD041_KGD077	CPD041_KGD078	CPD041_KGD079	CPD041_KGD080	CPD041_KGD081	CPD041_KGD082	CPD041_KGD083	CPD041_KGD084	CPD041_KGD085	CPD041_KGD086	CPD041_KGD087	CPD041_KGD088	CPD041_KGD089	CPD041_KGD090	CPD041_KGD091	CPD041_KGD092	CPD041_KGD093	CPD041_KGD094	CPD041_KGD095	CPD041_KGD096	CPD041_KGD097	CPD041_KGD098	CPD041_KGD099	CPD041_KGD101	CPD041_KGD102	CPD041_KGD103	CPD041_KGD104	CPD041_KGD105	CPD041_KGD106	CPD041_KGD107	CPD041_KGD108	CPD041_KGD109	CPD041_KGD110	CPD041_KGD111	CPD041_KGD112	CPD041_KGD113	CPD041_KGD114	CPD041_KGD115	CPD041_KGD116	CPD041_KGD117	CPD041_KGD118	CPD041_KGD119	CPD041_KGD120
F33	238.0709	52.81	51.74	53.99	4	32311240	1.0	0.94	2362	92	353394	389129	371343	366601	400103	351724	402121	298094	384570	356819	371488	366454	351031	351745	344212	394534	365523	377197	366510	364330	339341	383391	353553	365778	356246	334621	330312	375689	377592	339207	338002	335356	336224	339200	252393	315452	323157	315452	326318	363689	336825	365684	355284	313944	266785	345228	343985	392227	352894	376716	394889	380578	403195	360413	326928	341674	355306	343698	351562	358984	347147	326530	356785	389325	0	361226	333200	363533	334116	353264	386214	333252	344733	316296	345850	341192	375597	277627	337010	358719	318354	339183	364996	339183	332453	336383	354310	395655	359244	317239	368049	351092	382789
F34	337.1405	67.62	66.54	68.8	28	11018369	1.0	0.96	935	86	134872	151723	133474	121091	146370	146154	122526	105844	142632	160231	159537	136578	65091	127565	0	158036	138263	124946	145741	121100	132530	124722	126615	129237	139316	119386	99436	107596	116366	115721	130002	135692	0	131006	109607	142555	136473	65955	103794	151864	70126	150051	163823	136080	117397	131129	141762	152956	147142	150976	161989	112787	162524	150068	149951	104002	144044	93960	142763	148167	135260	134538	126462	100208	0	88549	138338	117297	124632	161015	144892	149505	150151	0	141634	143130	130845	93291	90202	99935	109898	129045	126646	121570	71485	0	113707	148088	118123	0	0	107813	134766
F35	365.1506	65.37	64.48	66.54	37	3660913	1.0	0.97	373	12	0	0	0	0	0	0	0	403219	0	0	0	126528	0	466018	0	0	0	0	0	0	0	0	0	692893	0	188762	0	0	0	0	0	0	0	0	462504	0	0	0	0	0	0	0	0	0	128972	0	678572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121908	0	0	0	0	0	0	0	0	0	0	0	0	96481	0	0	0	0	0	0	0	0	0	109373	207683	0	0	0	0	0	0	0
F36	352.1381	63.99	63.11	65.17	33	318730	1.0	0.97	28	2	0	0	0	0	0	0	0	206813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F37	251.0833	60.17	58.99	61.35	5	336422940	1.0	0.99	765	93	4235266	4127105	3856646	4372784	5111979	4071536	4926837	1923774	4465502	3918827	3900269	3733698	3805498	3602917	3321708	3926437	3717949	4232379	4164864	3529234	3264192	3767329	4136319	3443156	4059334	3474785	3749231	3917199	3790706	3198256	3686225	3847693	3738200	3418283	2954304	3642992	3512499	3788054	3838469	4006805	3502958	4396739	3743881	3720452	3473446	3482056	3281776	4351153	3550268	3860538	3943012	4408693	4084904	3730549	3828026	3590878	3798749	3385300	3299358	3372030	3538059	3155825	3634388	4487259	575989	4113614	3480849	3761501	3639564	3445541	4293576	3485457	3554630	720715	3647553	4066916	4138214	2690721	3113003	3704357	3654129	3353734	3669482	3395388	3135053	2127514	4063150	4306978	3682701	1496241	3309780	3727936	4307073
F38	349.1194	63.5	62.52	64.68	29	29140966	1.0	0.97	2642	57	386285	409221	844296	234927	0	439698	0	296963	0	0	0	1170079	442322	884395	161843	895685	0	0	0	1448593	344585	0	0	297676	0	769145	752686	0	600434	305915	196053	0	449468	314994	822215	434436	413318	365205	1020936	834234	0	0	0	649480	728160	0	985743	0	269003	0	1430991	0	0	0	182500	0	0	120239	1470958	531210	0	558358	513709	0	0	0	245791	0	178983	334499	181769	617824	0	0	663333	479452	0	259630	146610	94376	183963	193230	0	181884	639178	434501	277092	0	204036	195937	0	675920	0
F39	366.1172	58.5	57.81	59.68	38	264792	0.94	0.65	21	3	0	0	0	0	0	0	0	0	0	40483	134777	0	0	0	0	0	0	0	0	0	0	0	0	110179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40	364.1665	61.05	60.07	62.23	34	4256575	1.0	0.97	427	30	0	110655	0	115350	152607	0	0	0	176050	0	80486	0	234322	0	0	0	153414	117564	0	0	0	0	0	268217	0	158384	0	0	78741	0	0	96777	0	0	133868	0	0	77950	308341	0	93783	95277	0	0	0	0	0	112612	0	0	95492	0	0	200285	0	0	0	0	0	0	154438	0	110044	0	0	119529	0	0	0	0	130000	0	0	0	0	0	118250	0	0	0	0	76564	0	0	0	0	143677	240425	104523	0	0	0	221950
F41	366.1537	65.27	64.68	66.45	39	337753	1.0	0.96	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139783	0	0	0	0	0	0	0	0	0	0	92963	0	0	0	0	0	0	0	0	0	0	0	126965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F42	364.1776	56.93	56.25	58.11	35	2294431	1.0	0.97	273	23	0	59476	100174	0	168443	0	133224	0	95745	0	0	0	0	0	0	0	0	0	141371	0	0	82142	116090	0	0	0	0	82099	0	0	0	0	0	0	0	0	0	0	0	70422	59277	96908	0	0	0	0	0	0	0	0	0	84107	98790	158416	0	74043	0	0	0	0	0	0	0	120921	0	129942	0	67994	0	0	0	0	0	0	0	0	114265	0	0	100109	0	0	65511	0	0	0	0	0	0	0	0	0	94962
